楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
SUPER BUBBLE JOURNEY,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9832483,3,3,0,0
Touch My Body,EXHAUST,15,ULTIMATE CHAIN,S,9958828,1,1,1,0
Touch My Body,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9711316,4,4,0,0
誰が為に兎は舞う＝狂速狂騒曲＝,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9892680,1,1,0,0
誰が為に兎は舞う＝狂速狂騒曲＝,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9749704,2,2,0,0
Blue Stream,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9820761,2,2,0,0
片翼のディザイア,EXHAUST,15,ULTIMATE CHAIN,S,9960141,1,1,1,0
片翼のディザイア,MAXIMUM,17,EXCESSIVE COMPLETE,S,9918936,1,1,0,0
LastΩmegA,EXHAUST,16,EXCESSIVE COMPLETE,S,9903139,5,5,0,0
LastΩmegA,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9832546,5,5,0,0
La Danza del Fuego,MAXIMUM,16,EXCESSIVE COMPLETE,S,9902343,1,1,0,0
Redshift,EXHAUST,16,EXCESSIVE COMPLETE,S,9900302,2,2,0,0
Redshift,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9815200,5,5,0,0
アワデコノヨヲ,EXHAUST,15,EXCESSIVE COMPLETE,S,9931167,1,1,0,0
アワデコノヨヲ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9895974,1,1,0,0
Iridescent Clouds,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9849381,5,5,0,0
SAtAN,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9876118,4,4,0,0
SAtAN,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9642504,6,6,0,0
disordered asia,MAXIMUM,16,EXCESSIVE COMPLETE,S,9909855,1,1,0,0
Divine's:Bugscript,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9893778,1,1,0,0
Divine's:Bugscript,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9702702,6,5,0,0
Two of Us,MAXIMUM,16,EXCESSIVE COMPLETE,S,9928057,3,3,0,0
Dreaming feat.nomico,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9881337,4,4,0,0
私の恋色。,MAXIMUM,16,EXCESSIVE COMPLETE,S,9907223,1,1,0,0
Arcade Prison,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9856490,4,4,0,0
Evans,EXHAUST,15,ULTIMATE CHAIN,S,9982027,1,1,1,0
Evans,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9709009,4,4,0,0
Oriens,EXHAUST,14,ULTIMATE CHAIN,S,9975247,1,1,1,0
Oriens,MAXIMUM,17,EXCESSIVE COMPLETE,S,9906542,1,1,0,0
Decoy,MAXIMUM,17,EXCESSIVE COMPLETE,S,9943262,2,2,0,0
New Leaf,EXHAUST,15,ULTIMATE CHAIN,S,9932381,1,1,1,0
New Leaf,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9775519,2,2,0,0
β,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9834729,4,4,0,0
RHYZING BEAT,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9892720,1,1,0,0
RHYZING BEAT,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9768544,3,3,0,0
Re：End of a Dream,EXHAUST,16,EXCESSIVE COMPLETE,S,9908711,4,4,0,0
Re：End of a Dream,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9700139,8,6,0,0
業焔繚乱,EXHAUST,15,EXCESSIVE COMPLETE,S,9945414,1,1,0,0
業焔繚乱,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9773166,4,4,0,0
Sky High,EXHAUST,15,EXCESSIVE COMPLETE,S,9922839,1,1,0,0
Sky High,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9673428,4,4,0,0
スピーカーガール！,GRAVITY,16,EXCESSIVE COMPLETE,S,9911927,3,3,0,0
CHERNOBOG,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9888953,4,4,0,0
CHERNOBOG,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9763554,6,5,0,0
ビビットストリーム,MAXIMUM,16,EXCESSIVE COMPLETE,S,9902424,1,1,0,0
Phlox,MAXIMUM,17,EXCESSIVE COMPLETE,S,9908175,1,1,0,0
BELOBOG,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9841539,5,5,0,0
BELOBOG,MAXIMUM,19,COMPLETE,A+,9197770,7,1,0,0
蟲の棲む処,EXHAUST,15,EXCESSIVE COMPLETE,S,9905891,1,1,0,0
蟲の棲む処,MAXIMUM,17,EXCESSIVE COMPLETE,S,9905897,2,2,0,0
Royal Judgement,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9899581,1,1,0,0
Royal Judgement,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9877220,5,5,0,0
ロプノールの商隊,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9866339,6,6,0,0
惑星☆ロリポップ,MAXIMUM,16,ULTIMATE CHAIN,S,9911333,2,2,1,0
分けるな危険！モモモモモモーイズム,EXHAUST,14,EXCESSIVE COMPLETE,S,9904013,1,1,0,0
分けるな危険！モモモモモモーイズム,MAXIMUM,17,EXCESSIVE COMPLETE,S,9914772,1,1,0,0
Awakening,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9837197,2,1,0,0
Awakening,MAXIMUM,19,COMPLETE,AA+,9502810,3,1,0,0
Wings of Glory,EXHAUST,15,ULTIMATE CHAIN,S,9964068,2,1,1,0
Wings of Glory,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9808111,5,4,0,0
crossing blue,EXHAUST,16,EXCESSIVE COMPLETE,S,9908112,3,2,0,0
crossing blue,MAXIMUM,18,EXCESSIVE COMPLETE,S,9901785,6,5,0,0
Xéroa,ADVANCED,14,EXCESSIVE COMPLETE,AA+,9643765,1,1,0,0
Xéroa,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9859154,4,3,0,0
Xéroa,MAXIMUM,19,COMPLETE,AA,9351944,8,2,0,0
BlueMoon Princess,EXHAUST,16,EXCESSIVE COMPLETE,S,9947156,2,1,0,0
BlueMoon Princess,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9722707,4,3,0,0
プラネタジャーニー,EXHAUST,14,ULTIMATE CHAIN,S,9947589,1,1,1,0
プラネタジャーニー,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9886280,6,4,0,0
メルヘン風紀委員会,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9884437,4,3,0,0
Яe's NoVǢ,EXHAUST,15,EXCESSIVE COMPLETE,S,9921602,2,1,0,0
Яe's NoVǢ,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9845380,6,4,0,0
からくりピエロ,MAXIMUM,16,ULTIMATE CHAIN,S,9938398,1,1,1,0
GERBERA-For Finalists-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9827760,6,5,0,0
GERBERA-For Finalists-,MAXIMUM,19,COMPLETE,AA,9486475,9,4,0,0
Libera me,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9811265,3,3,0,0
ワールズエンド・ダンスホール,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9846975,1,1,0,0
ワールズエンド・ダンスホール,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9777553,6,6,0,0
I,ADVANCED,15,EXCESSIVE COMPLETE,S,9930426,2,1,0,0
I,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9829545,11,8,0,0
I,MAXIMUM,20,COMPLETE,AA+,9573170,22,1,0,0
A Lasting Promise,ADVANCED,14,EXCESSIVE COMPLETE,AAA,9729458,1,1,0,0
A Lasting Promise,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9722870,6,5,0,0
A Lasting Promise,MAXIMUM,19,COMPLETE,AA+,9505628,13,6,0,0
CUTE-Reflection,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9859504,3,2,0,0
Cloud 9,EXHAUST,16,ULTIMATE CHAIN,S,9908703,5,5,1,0
Cloud 9,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9768179,4,3,0,0
Sacrifice and Faith,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9804814,1,1,0,0
Sacrifice and Faith,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9737340,5,2,0,0
神話に芽吹く,EXHAUST,15,ULTIMATE CHAIN,S,9967129,1,1,1,0
神話に芽吹く,MAXIMUM,18,COMPLETE,AA+,9673133,5,3,0,0
僕らの時間,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9752851,1,1,0,0
僕らの時間,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9892418,14,13,0,0
羅生門,EXHAUST,15,ULTIMATE CHAIN,S,9947609,2,2,1,0
羅生門,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9871106,10,7,0,0
Last Resort,ADVANCED,14,EXCESSIVE COMPLETE,AAA,9706616,1,1,0,0
Last Resort,EXHAUST,17,EXCESSIVE COMPLETE,S,9906832,4,3,0,0
Last Resort,MAXIMUM,19,COMPLETE,AA+,9517450,8,5,0,0
BREAKNECK NY☆N! NY★N!,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9896373,1,1,0,0
BREAKNECK NY☆N! NY★N!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9892761,3,3,0,0
planetarium,EXHAUST,15,ULTIMATE CHAIN,S,9941986,1,1,1,0
planetarium,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9772353,7,6,0,0
MONOLITH,EXHAUST,15,EXCESSIVE COMPLETE,S,9914945,1,1,0,0
MONOLITH,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9807373,2,2,0,0
Lionheart,EXHAUST,14,EXCESSIVE COMPLETE,S,9939288,1,1,0,0
Lionheart,MAXIMUM,16,EXCESSIVE COMPLETE,S,9952137,1,1,0,0
Random Box,MAXIMUM,16,EXCESSIVE COMPLETE,S,9904109,2,2,0,0
CARNIVOROUS,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9872881,3,3,0,0
スカイダイバー,MAXIMUM,16,EXCESSIVE COMPLETE,S,9939939,2,2,0,0
SPACE VILLAGE,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9834167,3,3,0,0
それは花火のような恋,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9788341,1,1,0,0
それは花火のような恋,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9806812,3,3,0,0
トキメキストリーム,MAXIMUM,16,EXCESSIVE COMPLETE,S,9964028,1,1,0,0
びいすと！,EXHAUST,15,EXCESSIVE COMPLETE,S,9961267,2,2,0,0
びいすと！,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9805876,6,6,0,0
VOLTEXES IV,EXHAUST,14,ULTIMATE CHAIN,S,9948875,1,1,1,0
VOLTEXES IV,MAXIMUM,17,EXCESSIVE COMPLETE,S,9946466,5,2,0,0
メイビ～初恋！？ビスケット☆大作戦,EXHAUST,16,EXCESSIVE COMPLETE,S,9951127,1,1,0,0
メイビ～初恋！？ビスケット☆大作戦,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9730185,5,5,0,0
Lost wing at.0,EXHAUST,15,ULTIMATE CHAIN,S,9968173,2,2,1,0
Lost wing at.0,MAXIMUM,17,EXCESSIVE COMPLETE,S,9902912,3,3,0,0
極彩天奏,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9857397,2,2,0,0
極彩天奏,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9563699,4,4,0,0
Zelophilia,EXHAUST,15,EXCESSIVE COMPLETE,S,9915469,2,2,0,0
Zelophilia,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9865038,4,4,0,0
ツキアカリ,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9637795,1,1,0,0
ツキアカリ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9931584,3,3,0,0
ボーイミーツ・ブルー,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9869791,3,3,0,0
ルミナスデイズ,MAXIMUM,16,ULTIMATE CHAIN,S,9967362,1,1,1,0
Lowermost revolt,EXHAUST,16,EXCESSIVE COMPLETE,S,9942495,1,1,0,0
Lowermost revolt,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9641915,3,2,0,0
Royal Action,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9762996,1,1,0,0
Royal Action,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9764492,7,7,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9771364,9,7,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,MAXIMUM,19,COMPLETE,AA+,9559102,7,1,0,0
おにいちゃんハイテック,MAXIMUM,17,EXCESSIVE COMPLETE,S,9922408,3,3,0,0
Chaotic Romance,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9831546,2,2,0,0
Khionos TiARA,EXHAUST,16,EXCESSIVE COMPLETE,S,9951093,2,2,0,0
Khionos TiARA,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9734439,7,3,0,0
Goddess Bless you,EXHAUST,15,EXCESSIVE COMPLETE,S,9917640,2,2,0,0
Goddess Bless you,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9803325,9,7,0,0
Xibercannon,EXHAUST,15,EXCESSIVE COMPLETE,S,9918883,2,2,0,0
Xibercannon,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9885308,5,5,0,0
Destruction & Qreation,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9859011,3,3,0,0
DropZ-Line-,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9870892,2,2,0,0
DropZ-Line-,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9501272,5,5,0,0
Be a Hero!,EXHAUST,15,EXCESSIVE COMPLETE,S,9927934,1,1,0,0
Be a Hero!,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9838572,3,2,0,0
PIERROT KNIfE,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9634146,1,1,0,0
PIERROT KNIfE,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9836272,3,2,0,0
OPEN MY GATE,EXHAUST,14,ULTIMATE CHAIN,S,9983883,1,1,1,0
OPEN MY GATE,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9739413,10,8,0,0
All Clear!!,EXHAUST,14,ULTIMATE CHAIN,S,9964057,1,1,1,0
All Clear!!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9881133,14,11,0,0
Cy-Bird,EXHAUST,14,EXCESSIVE COMPLETE,S,9922898,2,1,0,0
Cy-Bird,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9815229,7,3,0,0
#SpeedyCats,EXHAUST,16,EXCESSIVE COMPLETE,S,9945582,3,2,0,0
#SpeedyCats,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9683698,5,4,0,0
TWO-TORIAL,ADVANCED,14,EXCESSIVE COMPLETE,S,9949690,1,1,0,0
TWO-TORIAL,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9817676,8,6,0,0
TWO-TORIAL,MAXIMUM,19,COMPLETE,AA+,9573448,10,6,0,0
Hug!! Vs. Hug!!,EXHAUST,16,ULTIMATE CHAIN,S,9926534,3,2,1,0
Hug!! Vs. Hug!!,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9563953,3,2,0,0
BEAST BASS BOMB,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9899749,2,1,0,0
BEAST BASS BOMB,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9820347,7,5,0,0
Far Away,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9730113,1,1,0,0
Far Away,MAXIMUM,17,EXCESSIVE COMPLETE,S,9930254,8,6,0,0
闇夜に舞うは紅の華,EXHAUST,15,ULTIMATE CHAIN,S,9972222,2,2,1,0
闇夜に舞うは紅の華,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9806610,4,3,0,0
GERBERA,EXHAUST,16,EXCESSIVE COMPLETE,S,9931955,1,1,0,0
GERBERA,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9809077,13,9,0,0
It's a new day!,MAXIMUM,16,ULTIMATE CHAIN,S,9953952,3,3,1,0
HP:1,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9858019,1,1,0,0
HP:1,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9526692,4,4,0,0
QUAKE,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9870538,2,2,0,0
゜*。Chantilly Fille。*°,MAXIMUM,16,EXCESSIVE COMPLETE,S,9905362,2,2,0,0
春時雨,MAXIMUM,16,EXCESSIVE COMPLETE,S,9916913,2,2,0,0
Fairy in Strasbourg,MAXIMUM,16,ULTIMATE CHAIN,AAA+,9888729,3,3,1,0
Poppin’Cats!!,EXHAUST,15,EXCESSIVE COMPLETE,S,9930191,2,2,0,0
Poppin’Cats!!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9753231,4,4,0,0
DREAMING-ING!!,MAXIMUM,15,EXCESSIVE COMPLETE,S,9943917,1,1,0,0
怒槌,EXHAUST,15,EXCESSIVE COMPLETE,S,9957943,3,2,0,0
怒槌,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9673193,11,8,0,0
Scarlet Lance,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9860813,1,1,0,0
Scarlet Lance,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9744003,4,4,0,0
セイクリッド ルイン,EXHAUST,15,EXCESSIVE COMPLETE,S,9933879,2,2,0,0
セイクリッド ルイン,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9820424,8,8,0,0
炎夏の音,EXHAUST,14,EXCESSIVE COMPLETE,S,9902642,1,1,0,0
炎夏の音,MAXIMUM,17,EXCESSIVE COMPLETE,S,9971765,6,5,0,0
狂騒こども節,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9881355,3,3,0,0
新米天使のメランコリー,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9889948,4,4,0,0
地球防衛乙女パンナコッター,MAXIMUM,16,EXCESSIVE COMPLETE,S,9923561,1,1,0,0
テレポーテーションでやってきた彼とのその後の顛末,MAXIMUM,16,EXCESSIVE COMPLETE,S,9923830,2,2,0,0
ペタ靴と憂夜リムーバー,EXHAUST,14,ULTIMATE CHAIN,S,9957081,2,2,1,0
ペタ靴と憂夜リムーバー,MAXIMUM,17,ULTIMATE CHAIN,S,9940805,2,2,1,0
キリステゴメン,EXHAUST,14,EXCESSIVE COMPLETE,S,9905847,1,1,0,0
キリステゴメン,MAXIMUM,16,EXCESSIVE COMPLETE,S,9934036,2,2,0,0
けもののおうじゃ★めうめう,EXHAUST,14,ULTIMATE CHAIN,S,9984817,1,1,1,0
けもののおうじゃ★めうめう,MAXIMUM,16,EXCESSIVE COMPLETE,S,9909156,2,2,0,0
シノビシノノメ,MAXIMUM,16,ULTIMATE CHAIN,S,9908088,2,2,1,0
銃弾は解を撃ち抜いて,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9828431,1,1,0,0
銃弾は解を撃ち抜いて,MAXIMUM,17,EXCESSIVE COMPLETE,S,9914529,4,3,0,0
Drizzly Venom,MAXIMUM,17,EXCESSIVE COMPLETE,S,9925421,3,3,0,0
ナイト・オブ・ロンド,MAXIMUM,15,EXCESSIVE COMPLETE,S,9963450,1,1,0,0
ミラクル・スイート・スイーツ・マジック！！,MAXIMUM,16,ULTIMATE CHAIN,S,9904397,2,2,1,0
couleur automnes de chocolat,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9826589,2,2,0,0
Ghost Trigger,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9822167,3,3,0,0
Ghost Trigger,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9628174,5,5,0,0
Sadistic Stabbing,EXHAUST,14,EXCESSIVE COMPLETE,S,9909255,1,1,0,0
Sadistic Stabbing,MAXIMUM,17,EXCESSIVE COMPLETE,S,9928825,4,3,0,0
Time to Air (jazz it up style),EXHAUST,14,EXCESSIVE COMPLETE,AAA,9793510,1,1,0,0
Time to Air (jazz it up style),MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9859954,9,8,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAXIMUM,16,EXCESSIVE COMPLETE,S,9909200,2,2,0,0
Doppelganger,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9863989,5,5,0,0
Doppelganger,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9638989,7,5,0,0
NEON LOVE♥POTION!!!,EXHAUST,14,ULTIMATE CHAIN,S,9979935,1,1,1,0
NEON LOVE♥POTION!!!,MAXIMUM,17,EXCESSIVE COMPLETE,S,9904708,6,6,0,0
444,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9771364,1,1,0,0
444,MAXIMUM,17,EXCESSIVE COMPLETE,S,9900000,8,8,0,0
waxing and wanding(SS Remix),MAXIMUM,16,EXCESSIVE COMPLETE,S,9902120,1,1,0,0
WONDER_WOBBLER,EXHAUST,14,EXCESSIVE COMPLETE,S,9973723,1,1,0,0
WONDER_WOBBLER,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9869842,4,4,0,0
Glitter Flatter Scatter,EXHAUST,16,EXCESSIVE COMPLETE,S,9924374,4,4,0,0
Glitter Flatter Scatter,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9666375,5,5,0,0
Claidheamh Soluis-光の剣- feat.はるの,MAXIMUM,16,EXCESSIVE COMPLETE,S,9929988,1,1,0,0
のぼれ八坂坂！,EXHAUST,15,ULTIMATE CHAIN,S,9990947,1,1,1,0
のぼれ八坂坂！,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9662655,8,5,0,0
胸の中で誰かが,MAXIMUM,15,EXCESSIVE COMPLETE,S,9902760,2,2,0,0
Apocrypha,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9842809,1,1,0,0
Apocrypha,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9897276,4,4,0,0
Grand-Guignol,EXHAUST,15,EXCESSIVE COMPLETE,S,9918597,2,2,0,0
Grand-Guignol,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9825268,8,7,0,0
獅子奮迅,EXHAUST,15,EXCESSIVE COMPLETE,S,9918439,2,2,0,0
獅子奮迅,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9859402,8,7,0,0
Spirit of the Beast,EXHAUST,16,EXCESSIVE COMPLETE,S,9906759,2,2,0,0
Spirit of the Beast,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9662126,6,4,0,0
Fáfnir,EXHAUST,15,EXCESSIVE COMPLETE,S,9922540,1,1,0,0
Fáfnir,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9864000,5,5,0,0
Concertino in Blue,MAXIMUM,18,COMPLETE,AA+,9558043,2,2,0,0
ULTiMATE INFLATiON,EXHAUST,16,EXCESSIVE COMPLETE,S,9911883,2,1,0,0
ULTiMATE INFLATiON,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9729523,6,4,0,0
神獄烙桜,EXHAUST,16,ULTIMATE CHAIN,S,9941740,4,3,1,0
神獄烙桜,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9703757,9,6,0,0
Juggler's Maddness,EXHAUST,16,EXCESSIVE COMPLETE,S,9916825,6,5,0,0
Juggler's Maddness,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9690921,16,10,0,0
Staring at star,ADVANCED,14,EXCESSIVE COMPLETE,AAA+,9832896,1,1,0,0
Staring at star,EXHAUST,17,EXCESSIVE COMPLETE,S,9942240,6,5,0,0
Staring at star,MAXIMUM,19,EXCESSIVE COMPLETE,AA+,9642857,16,13,0,0
セイレーン ～悲壮の竪琴～,ADVANCED,14,EXCESSIVE COMPLETE,S,9933244,1,1,0,0
セイレーン ～悲壮の竪琴～,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9845735,4,3,0,0
セイレーン ～悲壮の竪琴～,MAXIMUM,19,COMPLETE,AA+,9573808,16,9,0,0
Dyscontrolled Galaxy,ADVANCED,14,EXCESSIVE COMPLETE,S,9901729,2,2,0,0
Dyscontrolled Galaxy,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9708171,14,13,0,0
Dyscontrolled Galaxy,MAXIMUM,19,PLAYED,A+,9173120,26,0,0,0
Deadly force,ADVANCED,14,EXCESSIVE COMPLETE,S,9906496,1,1,0,0
Deadly force,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9857239,6,5,0,0
Deadly force,MAXIMUM,19,COMPLETE,AA,9322272,7,4,0,0
FIN4LE ～終止線の彼方へ～,ADVANCED,15,EXCESSIVE COMPLETE,AAA+,9897229,4,3,0,0
FIN4LE ～終止線の彼方へ～,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9629516,12,9,0,0
FIN4LE ～終止線の彼方へ～,MAXIMUM,20,PLAYED,A+,9154658,5,0,0,0
WHITEOUT,ADVANCED,15,EXCESSIVE COMPLETE,S,9921085,2,2,0,0
WHITEOUT,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9807251,11,10,0,0
WHITEOUT,MAXIMUM,20,PLAYED,AA,9309708,8,0,0,0
Mirrorwall,EXHAUST,16,EXCESSIVE COMPLETE,S,9913494,5,4,0,0
Mirrorwall,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9744152,8,3,0,0
Theme of Ricerca,EXHAUST,15,ULTIMATE CHAIN,S,9905731,1,1,1,0
Theme of Ricerca,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9772481,4,3,0,0
Altale,MAXIMUM,17,EXCESSIVE COMPLETE,S,9906354,3,3,0,0
PUPA,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9870838,13,13,0,0
PUPA,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9628080,7,5,0,0
Game Over,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9896472,1,1,0,0
Game Over,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9896474,6,6,0,0
JUNKIE FLAVOR,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9897260,5,5,0,0
JUNKIE FLAVOR,MAXIMUM,18,COMPLETE,AA+,9546454,9,6,0,0
dreamin' of u,MAXIMUM,16,EXCESSIVE COMPLETE,S,9911347,5,5,0,0
rhythmology study,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9760751,6,5,0,0
Legendary Road,EXHAUST,16,EXCESSIVE COMPLETE,S,9901039,1,1,0,0
Legendary Road,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9668968,7,6,0,0
SACRIFICE feat.ayame,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9852101,1,1,0,0
SACRIFICE feat.ayame,MAXIMUM,18,COMPLETE,AA+,9673469,8,3,0,0
廃獄ドリームランド,MAXIMUM,17,EXCESSIVE COMPLETE,S,9921215,1,1,0,0
Burn everything,MAXIMUM,16,EXCESSIVE COMPLETE,S,9923191,1,1,0,0
冒涜的選択のアレグリア ft. Mayumi Morinaga,MAXIMUM,15,EXCESSIVE COMPLETE,S,9947220,1,1,0,0
